,alt,target,error,pid_result
0,35,35,0,0
1,36,36,0,0
2,37,37,0,0
3,38,38,0,0
4,37,37,0,0
5,36,36,0,0
6,36,36,0,0
7,36,36,0,0
8,37,37,0,0
9,37,37,0,0
10,34,34,0,0
11,31,31,0,0
12,28,28,0,0
13,29,29,0,0
14,30,30,0,0
15,29,29,0,0
16,30,30,0,0
17,28,28,0,0
18,29,29,0,0
19,28,28,0,0
20,30,29,0,0
21,33,33,0,0
22,36,36,0,0
23,39,39,0,0
24,38,38,0,0
25,36,36,0,0
26,33,33,0,0
27,31,31,0,0
28,29,29,0,0
29,30,30,0,0
30,30,31,0,69
31,29,31,1,106
32,29,31,1,-35
33,29,31,2,-229
34,29,31,2,-2047
35,30,31,0,15
36,31,31,0,-28
37,31,31,0,-9
38,31,31,0,-39
39,35,31,-4,-245
40,34,31,-3,-192
41,35,31,-4,-265
42,37,31,-6,-379
43,34,31,-3,-229
44,36,31,-5,-353
45,36,31,-5,-366
46,36,31,-4,-266
47,37,31,-5,-386
48,36,31,-5,2005
49,34,31,-3,-200
50,30,31,0,40
51,23,31,7,475
52,15,31,15,939
53,9,31,21,1283
54,4,31,27,1621
55,0,31,30,1858
56,-4,31,35,2129
57,-8,31,39,2368
58,-10,31,42,2529
59,-15,31,46,2937
60,-18,31,49,3107
61,-23,31,54,3885
62,-26,31,58,6700
63,-27,31,58,-957
64,-28,31,60,3600
65,-30,31,61,3674
66,-31,31,62,3752
67,-32,31,63,3832
68,-34,31,65,3922
69,-33,31,65,3904
70,-34,31,66,3966
71,-34,31,65,3934
72,-32,31,63,3784
73,-31,31,62,3736
74,-27,31,58,3213
75,-25,31,56,3569
76,-28,31,59,5854
77,-27,31,58,432
78,-30,31,61,3674
79,-31,31,62,3775
80,-29,31,60,3649
81,-29,31,60,3617
82,-26,31,57,3431
83,-24,31,55,3357
84,-25,31,56,3416
85,-25,31,56,3379
86,-26,31,58,3492
87,-28,31,59,3570
88,-28,31,59,3492
89,-26,31,58,3776
90,-26,31,57,3262
91,-24,31,55,-2100
92,-21,31,52,3149
93,-21,31,52,3149
94,-20,31,51,3112
95,-19,31,50,3025
96,-20,31,51,3116
97,-20,31,52,3121
98,-22,31,53,3219
99,-24,31,55,3335
100,-24,31,55,3355
101,-25,31,56,3387
102,-26,31,57,3459
103,-25,31,56,4171
104,-25,31,56,3358
105,-28,31,59,6942
106,-28,31,60,3602
107,-31,31,62,3763
108,-34,31,65,3941
109,-35,31,66,3973
110,-33,31,64,3865
111,-32,31,63,3817
112,-33,31,64,3855
113,-32,31,63,3810
114,-32,31,63,3832
115,-31,31,62,3721
116,-30,31,61,3710
117,-31,31,62,3856
118,-33,31,64,7042
119,-36,31,68,7946
120,-38,31,69,4148
121,-36,31,67,4061
122,-34,31,65,3950
123,-33,31,64,3881
124,-34,31,65,3911
125,-37,31,68,4105
126,-39,31,70,4228
127,-40,31,71,4293
128,-40,31,71,4302
129,-38,31,69,4148
130,-36,31,67,4059
131,-34,31,66,3873
132,-35,31,66,4032
133,-35,31,66,3913
134,-34,31,66,8320
135,-34,31,65,3937
136,-32,31,63,3819
137,-31,31,62,3769
138,-33,31,64,3847
139,-33,31,64,3877
140,-33,31,65,3906
141,-35,31,66,3997
142,-35,31,66,3981
143,-36,31,67,4079
144,-39,31,70,4213
145,-39,31,70,4313
146,-42,31,73,5082
147,-45,31,76,4279
148,-47,31,79,16340
149,-51,31,82,4929
150,-54,31,85,5115
151,-58,31,89,5352
152,-60,31,91,5467
153,-60,31,91,5506
154,-61,31,92,5550
155,-59,31,90,5433
156,-58,31,89,5374
157,-58,31,90,5402
158,-58,31,89,5369
159,-58,31,89,5375
160,-56,31,88,4969
161,-54,31,85,4201
162,-53,31,84,2337
163,-53,31,84,5077
164,-52,31,83,5018
165,-54,31,85,5132
166,-52,31,83,5002
167,-49,31,80,4836
168,-50,31,81,4869
169,-50,31,81,4875
170,-48,31,79,4783
171,-47,31,78,4706
172,-43,31,74,4440
173,-38,31,69,4055
174,-39,31,70,4438
175,-40,31,71,4496
176,-40,31,71,2775
177,-41,31,72,4358
178,-41,31,72,4369
179,-40,31,71,4290
180,-40,31,71,4273
181,-41,31,72,4353
182,-43,31,74,4474
183,-46,31,77,4633
184,-46,31,77,4650
185,-45,31,77,4623
186,-45,31,76,4580
187,-40,31,72,4236
188,-41,31,72,4385
189,-41,31,72,3981
190,-41,31,72,3525
191,-45,31,76,16800
192,-46,31,77,4651
193,-45,31,76,4605
194,-45,31,76,4611
195,-45,31,76,4594
196,-48,31,79,4790
197,-50,31,81,4908
198,-51,31,82,4971
199,-51,31,82,4936
200,-49,31,80,4837
201,-49,31,80,4869
202,-49,31,80,4805
203,-50,31,81,5156
204,-53,31,84,7421
205,-53,31,84,2510
206,-52,31,83,5021
207,-49,31,80,4857
208,-47,31,78,4687
209,-46,31,77,4648
210,-49,31,80,4849
211,-51,31,83,4981
212,-53,31,84,5070
213,-54,31,85,5113
214,-54,31,85,5109
215,-52,31,83,4983
216,-49,31,80,4793
217,-47,31,78,4333
218,-44,31,75,4206
219,-46,31,77,16800
220,-47,31,79,4742
221,-48,31,79,4747
222,-50,31,81,4867
223,-51,31,82,4947
224,-53,31,84,5054
225,-56,31,87,5235
226,-56,31,87,5262
227,-55,31,86,5203
228,-53,31,84,5078
229,-52,31,83,5025
230,-53,31,84,5116
231,-53,31,84,5180
232,-54,31,85,5167
233,-52,31,83,258
234,-49,31,80,-1357
235,-48,31,79,4783
236,-50,31,81,4893
237,-51,31,82,4975
238,-52,31,84,5041
239,-53,31,84,5090
240,-50,31,82,4922
241,-47,31,78,4721
242,-47,31,78,4705
243,-46,31,77,4649
244,-46,31,77,4685
245,-48,31,79,4783
246,-46,31,77,4463
247,-46,31,77,6041
248,-47,31,78,6380
249,-48,31,79,4747
250,-48,31,79,4765
251,-45,31,76,4595
252,-42,31,73,4399
253,-40,31,71,4288
254,-41,31,72,4372
255,-44,31,75,4514
256,-45,31,76,4615
257,-46,31,77,4651
258,-48,31,79,4761
259,-48,31,79,4798
260,-46,31,78,4453
261,-46,31,77,2959
262,-43,31,75,3867
263,-42,31,74,4444
264,-44,31,76,4563
265,-50,31,81,4870
266,-52,31,83,5004
267,-55,31,86,5180
268,-55,31,86,5216
269,-51,31,82,4939
270,-47,31,78,4688
271,-43,31,75,4505
272,-43,31,74,4498
273,-45,31,76,4639
274,-50,31,81,5127
275,-52,31,83,5433
276,-52,31,83,5825
277,-53,31,84,5087
278,-51,31,82,4974
279,-52,31,83,5009
280,-49,31,80,4828
281,-46,31,77,4637
282,-45,31,76,4589
283,-44,31,75,4514
284,-47,31,78,4728
285,-51,31,82,4928
286,-52,31,83,5038
287,-53,31,85,5100
288,-53,31,84,5025
289,-51,31,82,4703
290,-50,31,81,5550
