,Solar_Power,Today_GEN_Power,Solar_Voltage,Solar_Current,Line_Voltage,Line_Current,Line_Power,Inverter_Efficiency,Temperature,TTL_GEN_Power,AC_Frequency,RUN_Time,PF,DSP_ver,RUN
15:56:13,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,28,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,28,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,28,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,28,34840,28,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,28,34840,28,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,28,34840,28,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,28,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,28,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,28,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:13,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:14,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,27,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,26,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,26,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,26,34840,27,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
15:56:15,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
15:56:16,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
15:56:16,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
15:56:16,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
15:56:16,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
15:56:16,26,34840,26,0,0,0,0,0,0,0,0,0,0,0,0
